Expsample_ID	Reference_Transcript_ID	Repository_Name	Transcript_Type_Reported	Result_Unit_Reported	Value_Reported	Comments
RAP1_IAA_30M_REP1	YAL054C	Ensembl	mRNA	TPM	87.843981	
RAP1_UNINDUCED_REP1	YAL054C	Ensembl	mRNA	TPM	98.03805	
RAP1_UNINDUCED_REP2	YAL054C	Ensembl	mRNA	TPM	71.173536	
WT_REP1	YAL054C	Ensembl	mRNA	TPM	45.862528	
WT_REP2	YAL054C	Ensembl	mRNA	TPM	22.072952	
RAP1_IAA_30M_REP1	YAL053W	Ensembl	mRNA	TPM	2302.583745	
RAP1_UNINDUCED_REP1	YAL053W	Ensembl	mRNA	TPM	2276.684187	
RAP1_UNINDUCED_REP2	YAL053W	Ensembl	mRNA	TPM	2370.329296	
WT_REP1	YAL053W	Ensembl	mRNA	TPM	1430.279958	
WT_REP2	YAL053W	Ensembl	mRNA	TPM	1356.775323	
RAP1_IAA_30M_REP1	YAL051W	Ensembl	mRNA	TPM	582.726073	
RAP1_UNINDUCED_REP1	YAL051W	Ensembl	mRNA	TPM	743.490218	
RAP1_UNINDUCED_REP2	YAL051W	Ensembl	mRNA	TPM	784.377472	
WT_REP1	YAL051W	Ensembl	mRNA	TPM	631.485689	
WT_REP2	YAL051W	Ensembl	mRNA	TPM	571.207196	
RAP1_IAA_30M_REP1	YAL049C	Ensembl	mRNA	TPM	2192.591593	
RAP1_UNINDUCED_REP1	YAL049C	Ensembl	mRNA	TPM	2795.542027	
RAP1_UNINDUCED_REP2	YAL049C	Ensembl	mRNA	TPM	2546.67484	
WT_REP1	YAL049C	Ensembl	mRNA	TPM	1339.102209	
WT_REP2	YAL049C	Ensembl	mRNA	TPM	1061.73324	
RAP1_IAA_30M_REP1	YAL048C	Ensembl	mRNA	TPM	428.501342	
RAP1_UNINDUCED_REP1	YAL048C	Ensembl	mRNA	TPM	447.987097	
RAP1_UNINDUCED_REP2	YAL048C	Ensembl	mRNA	TPM	508.861838	
WT_REP1	YAL048C	Ensembl	mRNA	TPM	310.693377	
WT_REP2	YAL048C	Ensembl	mRNA	TPM	239.253933	
RAP1_IAA_30M_REP1	YAL047W-A	Ensembl	mRNA	TPM	0	
RAP1_UNINDUCED_REP1	YAL047W-A	Ensembl	mRNA	TPM	0	
RAP1_UNINDUCED_REP2	YAL047W-A	Ensembl	mRNA	TPM	0	
WT_REP1	YAL047W-A	Ensembl	mRNA	TPM	0	
WT_REP2	YAL047W-A	Ensembl	mRNA	TPM	0	
RAP1_IAA_30M_REP1	YAL047C	Ensembl	mRNA	TPM	509.690604	
RAP1_UNINDUCED_REP1	YAL047C	Ensembl	mRNA	TPM	527.019616	
RAP1_UNINDUCED_REP2	YAL047C	Ensembl	mRNA	TPM	475.28573	
WT_REP1	YAL047C	Ensembl	mRNA	TPM	252.762064	
WT_REP2	YAL047C	Ensembl	mRNA	TPM	358.556574	
